"alpha","beta","sigma"
7.13213251825017,-0.502920947928347,0.551795557552052
7.00656827153328,-0.496248048331775,0.654440791689509
7.07245101404582,-0.501593056846167,0.625326625685744
6.9930591679583,-0.487728044278787,0.577474000095751
7.15726448728118,-0.512590487322472,0.59662946562236
7.08285007558705,-0.496022490925125,0.622400891741075
7.22203646702589,-0.512136537134649,0.605550243121086
7.12598585536608,-0.506152044623258,0.591352407316489
6.68401309353888,-0.441105340292966,0.585237098336323
7.06950726218011,-0.491816968631894,0.579196703654212
7.02021278302655,-0.49723930650352,0.598595945466313
7.0662903900023,-0.491505493461454,0.619114659955621
6.96437532565692,-0.48073916274569,0.627899635149322
7.18545631751286,-0.508884037784138,0.616840240160574
7.37757250313869,-0.541821151047851,0.605754202540913
7.21382776144782,-0.515445425585065,0.587826902690691
7.03474261569751,-0.494540823078742,0.579720504261526
6.93460129220102,-0.479158487595333,0.580307044405387
7.13600931570425,-0.514256159578092,0.557539282258209
6.97644061307988,-0.493810456593175,0.598403713906658
7.18235419062382,-0.505416108559471,0.552253492788127
6.99084676208966,-0.489047927363966,0.52610043187118
6.7965885791243,-0.457334935388591,0.585799010869384
7.41320097340187,-0.537523564201758,0.581061025037637
6.85588495721603,-0.474431177494615,0.629512478455455
7.01015916402844,-0.483895115803236,0.587662700926374
6.93445548348344,-0.477992791565836,0.610656342075423
7.20260454695967,-0.513999232904301,0.607536792108624
7.34532867752193,-0.532584961302551,0.585720101110535
6.8185704686955,-0.468571421585346,0.654879915931822
7.30716088675388,-0.530144718437268,0.624384965910091
6.98696728619229,-0.4951940744336,0.593861823759054
7.2038603206461,-0.508654801413566,0.591989699419094
7.11891161788552,-0.507281017833475,0.55992900527953
6.80782256887276,-0.464385917589072,0.61075193891681
6.43220537265847,-0.413977540242728,0.673259854558857
7.02051446356658,-0.487924576843674,0.578296509106374
7.4180204154429,-0.540155011699155,0.581263650512322
7.12506711163451,-0.505643098745306,0.582934570468445
7.13106093181347,-0.498202999568878,0.579023155012231
7.22631631612682,-0.505870189387754,0.597279170265669
6.84370016749363,-0.472776842435558,0.622299557904563
6.89075480694813,-0.477831731089491,0.590542361282558
7.14806568643904,-0.515636303943527,0.585843011688137
7.40635551161045,-0.536324156131656,0.580736471213115
6.85953121361229,-0.473980175876812,0.576884469318745
6.98855829370386,-0.488054005145232,0.615576896476215
6.77215158852391,-0.458685115713123,0.586313922871835
6.95890344081936,-0.479441797973101,0.577765925270012
7.28114032361656,-0.515971432091064,0.606684075172269
7.16828541203442,-0.507718228290702,0.563587511600268
7.22813087006329,-0.519689921101,0.61769429969575
6.99396355050493,-0.485766301277016,0.592862193907763
7.22890824182346,-0.510589987892025,0.623729809401852
7.1256992045222,-0.497617361605222,0.622359190856231
7.10471874813713,-0.500950865804254,0.595477879012467
7.02167202388882,-0.497796103346933,0.602840714926952
6.87009913871815,-0.472620515039435,0.577436933950511
7.00324304664808,-0.488813256219981,0.621658099629587
7.17548870733151,-0.500538870370601,0.556597539093701
7.16048615597992,-0.507415350597556,0.602216221278678
7.08163852930813,-0.490750633872548,0.581311699131525
6.63665353499349,-0.42994864613674,0.592315233467787
6.72494394498643,-0.448270891412291,0.60282688136658
7.14959658728814,-0.504791320516249,0.584246369040936
7.22832627185453,-0.515309057169326,0.604635674564236
6.97162156803358,-0.487410903824167,0.612468665146591
7.06436103404295,-0.497757438792989,0.586577135374349
6.65239348759785,-0.433598984553329,0.652845067068498
6.89902181004777,-0.484522234220756,0.575673318641798
6.87209328398564,-0.47521729505658,0.577559472842047
7.04899756650417,-0.494877573269886,0.593727259922156
7.13696538031468,-0.502036526497037,0.535161485203233
7.37757250313869,-0.541821151047851,0.605754202540913
6.77696380369715,-0.45904667531704,0.626397177408213
6.71592869976578,-0.44770921516906,0.553734698489865
7.03629615915045,-0.499301546082286,0.586339410190507
6.65605458744825,-0.444415952933846,0.593742659763759
7.08515996387701,-0.503680224956798,0.6073433011923
7.249409971724,-0.52153022108894,0.617780451622799
7.15016152133425,-0.509513222848033,0.581763086307317
7.1924147988634,-0.508998131872581,0.608019186900581
7.05844261691596,-0.496224372923706,0.583568812603552
6.66439534224995,-0.449816561955704,0.616189964908756
7.07935359219156,-0.504833623595685,0.621229697255936
7.34009689041112,-0.533265147768954,0.631358793122662
6.79917381558297,-0.468092963366218,0.654435284992571
6.57007254956033,-0.427948293788149,0.622304307700002
7.05045833784123,-0.498214150693029,0.585736442610475
7.1933025355897,-0.508567778120415,0.567645155084419
7.1083447008386,-0.508136830784682,0.605949855642479
7.04272889714274,-0.493449842212341,0.612039640010365
7.46959313294962,-0.546948853239815,0.592739822439708
7.06696517628201,-0.487768854485958,0.587657974756021
